Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Raj,NFCDFF-LX-H9N10AV1AARJ9XMLLK9F2MLWTWU5AJ,Netflix Linux Firefox Other,2021-05-11T13:22:00.605Z,2021-05-11T17:11:26.032Z,2021-05-11T13:22:00.605Z,2021-05-11T17:11:26.032Z,2021-05-11T13:22:00.605Z,2021-05-11T17:11:26.032Z,2021-05-11T13:22:00.605Z,2021-05-11T17:11:26.032Z,
Amy,NFCDFF-LX-H9N10AV1AARJ9XMLLK9F2MLWTWU5AJ,Netflix Linux Firefox Other,2021-05-11T13:22:00.605Z,2021-05-11T17:11:26.032Z,2021-05-11T13:22:00.605Z,2021-05-11T17:11:26.032Z,,,,,
Raj,NFCDFF-LX-GK8LLJWYUX7QDVR125FTUDLU65UE97,Netflix Linux Firefox Other,2020-09-25T15:35:51.474Z,2021-05-10T12:49:28.529Z,2020-09-25T15:35:51.474Z,2021-05-10T12:49:28.529Z,2020-09-25T16:06:23.482Z,2021-05-10T12:49:28.529Z,2020-09-25T16:06:23.482Z,2021-05-10T12:49:28.529Z,
Amy,NFAPPL-02-IPHONE10=1-6C0BAABB7A68B6577F2B099D546FD072612A08719232188F39EADB5F2BEE37B7,Apple iPhone 8 (CDMA),2021-01-11T17:42:46.061Z,2021-05-08T20:02:58.931Z,2021-01-11T17:42:46.061Z,2021-05-08T20:02:58.931Z,2021-01-11T17:42:46.061Z,2021-05-08T20:02:58.931Z,2021-01-11T17:42:46.061Z,2021-05-08T20:02:58.931Z,
Raj,NFCDFF-LX-H9DDQDMM2X8RC47K5VXPPQ3Y88W6T0,Netflix Linux Firefox Other,,,,,,,,,
Amy,NFCDFF-LX-H9DDQDMM2X8RC47K5VXPPQ3Y88W6T0,Netflix Linux Firefox Other,,,,,,,,,
Raj,NFCDFF-LX-H9DDM1PW2J1Y180CAE1EF9YC1LG2XU,Netflix Linux Firefox Other,,,,,,,,,
Amy,NFCDFF-LX-H9DDM1PW2J1Y180CAE1EF9YC1LG2XU,Netflix Linux Firefox Other,,,,,,,,,
Amy,NFCDFF-LX-H9DDL4GXY08PKKL155HR1GCCANMA7T,Netflix Linux Firefox Other,,,,,,,,,
Raj,NFUWA-001-FFA2C12BFC7C6C09D293D55DCF4D78BEC2C29613999B843B85BD6EF096A26251,Netflix Windows App - Cadmium Windows Mobile,2020-03-19T09:24:47.390Z,2021-03-29T14:49:32.428Z,2020-03-19T09:24:47.390Z,2021-03-29T14:49:32.428Z,2020-03-19T09:24:47.390Z,2021-03-29T14:49:32.428Z,2020-03-19T09:24:47.390Z,2021-03-29T14:49:32.428Z,
