Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Big Mummy,tvui,movieDetails,,,2021-12-23 12:38:27
Big Mummy,tvui,playback,,,2021-12-23 12:37:59
Big Mummy,tvui,postPlay,,,2021-12-23 12:37:59
Big Mummy,tvui,movieDetails,,,2021-12-23 12:27:50
Big Mummy,tvui,playback,,,2021-12-23 12:27:50
Big Mummy,tvui,playback,,,2021-12-23 12:25:29
Big Mummy,tvui,movieDetails,,,2021-12-23 12:25:29
Big Mummy,tvui,movieDetails,,,2021-12-23 12:19:39
Big Mummy,tvui,playback,,,2021-12-23 12:19:39
Big Mummy,tvui,playback,,,2021-12-23 12:19:31
Big Mummy,tvui,movieDetails,,,2021-12-23 12:19:30
Big Mummy,tvui,playback,,,2021-12-23 11:13:58
Big Mummy,tvui,movieDetails,,,2021-12-23 11:13:58
Big Mummy,tvui,profilesGate,,,2021-12-23 11:13:54
Big Mummy,tvui,movieDetails,,,2021-12-23 11:13:54
Big Mummy,tvui,profilesGate,,,2021-12-23 11:13:53
Big Mummy,tvui,profilesGate,,,2021-12-23 09:56:15
Big Mummy,tvui,movieDetails,,,2021-12-23 09:56:15
Big Mummy,tvui,screenSaver,,,2021-12-23 09:36:14
Big Mummy,tvui,movieDetails,,,2021-12-23 09:36:14
Big Mummy,tvui,movieDetails,,,2021-12-23 09:31:10
Big Mummy,tvui,screenSaver,,,2021-12-23 09:31:10
Big Mummy,tvui,playback,,,2021-12-23 09:24:44
Big Mummy,tvui,movieDetails,,,2021-12-23 09:24:44
Big Mummy,tvui,movieDetails,,,2021-12-23 09:19:10
Big Mummy,tvui,playback,,,2021-12-23 09:19:10
Big Mummy,tvui,browseTitles,,,2021-12-23 09:18:52
Big Mummy,tvui,movieDetails,,,2021-12-23 09:18:52
Big Mummy,tvui,browseTitles,,,2021-12-23 09:18:31
Big Mummy,tvui,profilesGate,,,2021-12-23 09:18:31
Big Mummy,tvui,profilesGate,,,2021-12-23 09:18:27
Big Mummy,tvui,browseTitles,,,2021-12-23 08:49:56
Big Mummy,tvui,profilesGate,,,2021-12-23 08:49:56
Big Mummy,tvui,screenSaver,,,2021-12-23 08:29:55
Big Mummy,tvui,browseTitles,,,2021-12-23 08:29:55
Big Mummy,tvui,browseTitles,,,2021-12-23 08:24:51
Big Mummy,tvui,screenSaver,,,2021-12-23 08:24:51
Big Mummy,tvui,playback,,,2021-12-23 08:04:58
Big Mummy,tvui,browseTitles,,,2021-12-23 08:04:58
Big Mummy,tvui,browseTitles,,,2021-12-23 07:59:28
Big Mummy,tvui,playback,,,2021-12-23 07:59:28
Big Mummy,tvui,movieDetails,,,2021-12-23 07:59:21
Big Mummy,tvui,browseTitles,,,2021-12-23 07:59:21
Big Mummy,tvui,playback,,,2021-12-23 07:59:14
Big Mummy,tvui,movieDetails,,,2021-12-23 07:59:14
Big Mummy,tvui,postPlay,,,2021-12-23 07:59:12
Big Mummy,tvui,playback,,,2021-12-23 07:59:12
Big Mummy,tvui,playback,,,2021-12-23 07:59:09
Big Mummy,tvui,postPlay,,,2021-12-23 07:59:09
Big Mummy,tvui,movieDetails,,,2021-12-23 07:18:37
Big Mummy,tvui,playback,,,2021-12-23 07:18:37
Big Mummy,tvui,playback,,,2021-12-23 07:18:28
Big Mummy,tvui,movieDetails,,,2021-12-23 07:18:28
Big Mummy,tvui,movieDetails,,,2021-12-23 07:17:50
Big Mummy,tvui,playback,,,2021-12-23 07:17:50
Big Mummy,tvui,movieDetails,,,2021-12-23 07:17:24
Big Mummy,tvui,browseTitles,,,2021-12-23 07:17:24
Big Mummy,tvui,profilesGate,,,2021-12-23 07:17:01
Big Mummy,tvui,browseTitles,,,2021-12-23 07:17:01
Big Mummy,tvui,search,,,2021-12-22 17:09:52
Big Mummy,tvui,profilesGate,,,2021-12-22 17:09:52
Big Mummy,tvui,search,,,2021-12-22 16:39:51
Big Mummy,tvui,movieDetails,,,2021-12-22 16:39:51
Big Mummy,tvui,playback,,,2021-12-22 16:39:21
Big Mummy,tvui,movieDetails,,,2021-12-22 16:39:21
Big Mummy,tvui,playback,,,2021-12-22 15:30:43
Big Mummy,tvui,movieDetails,,,2021-12-22 15:30:43
Big Mummy,tvui,movieDetails,,,2021-12-22 15:30:35
Big Mummy,tvui,playback,,,2021-12-22 15:30:35
Big Mummy,tvui,playback,,,2021-12-22 15:24:58
Big Mummy,tvui,movieDetails,,,2021-12-22 15:24:58
Big Mummy,tvui,search,,,2021-12-22 15:24:55
